 INFO  Accepting connections at http://localhost:4173
 HTTP  29/05/2026 09:02:17 ::1 Returned 304 in 25 ms
 HTTP  29/05/2026 09:02:17 ::1 Returned 304 in 12 ms
 HTTP  29/05/2026 09:02:17 ::1 Returned 304 in 8 ms
 HTTP  29/05/2026 09:02:17 ::1 GET /logo.png
 HTTP  29/05/2026 09:02:17 ::1 GET /_next/static/chunks/045g~0~zva_mv.js
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/0dgq26a5_oy.a.js
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/0njj.aq0r8e06.js
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/turbopack-07f-ebtj4v-88.js
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/10u3y4bw1ayzs.js
 HTTP  29/05/2026 09:02:17 ::1 Returned 304 in 453 ms
 HTTP  29/05/2026 09:02:17 ::1 Returned 304 in 392 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 366 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 311 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 278 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 273 ms
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/01xlw8hd842-c.js
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/0d3shmwh5_nmn.js
 HTTP  29/05/2026 09:02:18 ::1 GET /_next/static/chunks/10in5aw-kpnw5.js
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 197 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 145 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 304 in 107 ms
 HTTP  29/05/2026 09:02:18 ::1 HEAD /register/
 HTTP  29/05/2026 09:02:18 ::1 HEAD /feed/
 HTTP  29/05/2026 09:02:19 ::1 HEAD /login/
 HTTP  29/05/2026 09:02:19 ::1 GET /__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:02:19 ::1 GET /__next._index.txt?_rsc=yIp22O3xgPPxC28X
 HTTP  29/05/2026 09:02:18 ::1 Returned 200 in 188 ms
 HTTP  29/05/2026 09:02:18 ::1 Returned 200 in 177 ms
 HTTP  29/05/2026 09:02:19 ::1 Returned 200 in 183 ms
 HTTP  29/05/2026 09:02:19 ::1 Returned 304 in 168 ms
 HTTP  29/05/2026 09:02:19 ::1 Returned 304 in 174 ms
 HTTP  29/05/2026 09:02:19 ::1 GET /__next.__PAGE__.txt?_rsc=8nTjltbQWvg6NcbE
 HTTP  29/05/2026 09:02:19 ::1 Returned 304 in 74 ms
 HTTP  29/05/2026 09:02:19 ::1 GET /register/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  29/05/2026 09:02:19 ::1 GET /login/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  29/05/2026 09:02:19 ::1 GET /feed/__next._tree.txt?_rsc=5CB68i4pnAekjehf
 HTTP  29/05/2026 09:02:19 ::1 Returned 304 in 115 ms
 HTTP  29/05/2026 09:02:19 ::1 Returned 304 in 121 ms
 HTTP  29/05/2026 09:02:19 ::1 Returned 304 in 128 ms
 HTTP  29/05/2026 09:02:20 ::1 GET /register/__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:02:20 ::1 GET /register/__next.!KGF1dGgp.txt?_rsc=fGJn87jYv0bW619I
 HTTP  29/05/2026 09:02:20 ::1 GET /register/__next.!KGF1dGgp.register.txt?_rsc=bGGR2Yrv0BbdJE4l
 HTTP  29/05/2026 09:02:20 ::1 GET /register/__next.!KGF1dGgp.register.__PAGE__.txt?_rsc=u_bty1QrfRAXweeL
 HTTP  29/05/2026 09:02:20 ::1 Returned 304 in 140 ms
 HTTP  29/05/2026 09:02:20 ::1 Returned 304 in 153 ms
 HTTP  29/05/2026 09:02:20 ::1 GET /feed/__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:02:20 ::1 Returned 304 in 31 ms
 HTTP  29/05/2026 09:02:20 ::1 Returned 404 in 209 ms
 HTTP  29/05/2026 09:02:20 ::1 Returned 404 in 199 ms
 HTTP  29/05/2026 09:02:20 ::1 GET /feed/__next.feed.txt?_rsc=UMmEmLA7mxQXgvPk
 HTTP  29/05/2026 09:02:20 ::1 GET /feed/__next.feed.__PAGE__.txt?_rsc=15JqUpPayqBFLJzS
 HTTP  29/05/2026 09:02:20 ::1 GET /login/__next._head.txt?_rsc=7h4NYy5eoyMcNlUN
 HTTP  29/05/2026 09:02:20 ::1 GET /login/__next.!KGF1dGgp.login.txt?_rsc=nC3siu_m_4Fu2Aui
 HTTP  29/05/2026 09:02:20 ::1 Returned 304 in 97 ms
